Province,Valid Votes_Stationary Polls/Votes valides_Bureaux fixes,Valid Votes_Mobile Polls/Votes valides_Bureaux itinérants,Valid Votes_Advance Polls/Votes valides_Bureaux par anticipation,Valid Votes_SVR/Votes valides_RES,Total Valid Votes/Total des votes valides
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",147424,2584,49424,18484,217916
"Prince Edward Island/Île-du-Prince-Édouard",51556,547,28324,4035,84462
"Nova Scotia/Nouvelle-Écosse",299728,3189,160179,25811,488907
"New Brunswick/Nouveau-Brunswick",212271,187,161199,24144,397801
"Quebec/Québec",2469787,33559,1383238,166657,4053241
"Ontario",3775619,46410,2229342,403187,6454558
"Manitoba",344148,7796,187960,33266,573170
"Saskatchewan",291499,7473,183898,32954,515824
"Alberta",1171255,20158,646090,105586,1943089
"British Columbia/Colombie-Britannique",1219750,15469,813126,216240,2264585
"Yukon",11855,110,5318,2123,19406
"Northwest Territories/Territoires du Nord-Ouest",9326,0,3499,1270,14095
"Nunavut",5793,0,794,602,7189
