Province,Valid Votes_Stationary Polls/Votes valides_Bureaux fixes,Valid Votes_Mobile Polls/Votes valides_Bureaux itinérants,Valid Votes_Advance Polls/Votes valides_Bureaux par anticipation,Valid Votes_SVR/Votes valides_RES,Total Valid Votes/Total des votes valides
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",178395,2180,10275,3845,194695
"Prince Edward Island/Île-du-Prince-Édouard",60935,853,10155,2227,74170
"Nova Scotia/Nouvelle-Écosse",385072,2893,37606,10482,436053
"New Brunswick/Nouveau-Brunswick",302311,5055,51814,8964,368144
"Quebec/Québec",3080154,31773,443954,65394,3621275
"Ontario",4430249,35230,601753,86774,5154006
"Manitoba",413506,6857,36087,10327,466777
"Saskatchewan",366950,4499,38850,7917,418216
"Alberta",1122364,18676,109967,20153,1271160
"British Columbia/Colombie-Britannique",1564532,16993,177400,34475,1793400
"Yukon",11633,42,1406,1579,14660
"Northwest Territories/Territoires du Nord-Ouest",11714,0,1191,772,13677
"Nunavut",7521,0,380,160,8061

