Province,Population,Electors/Électeurs,Stationary Polls/Bureaux fixes,Mobile Polling Stations/Bureaux itinérants,Advance Polls/Bureaux de vote par anticipation,Total Polling Stations/Total des bureaux
Newfoundland and Labrador/Terre-Neuve-et-Labrador,505469,410411,1319,38,102,1459
Prince Edward Island/Île-du-Prince-Édouard,135851,108211,295,9,22,326
Nova Scotia/Nouvelle-Écosse,913462,727875,2206,42,149,2397
New Brunswick/Nouveau-Brunswick,729997,590984,1726,72,142,1940
Quebec/Québec,7546131,5954763,15695,407,1084,17186
Ontario,12160282,8834987,23467,406,1355,25228
Manitoba,1148401,835401,2323,76,163,2562
Saskatchewan,968157,715291,2189,59,170,2418
Alberta,3290350,2433695,6204,174,359,6737
British Columbia/Colombie-Britannique,4113487,2996864,7815,194,460,8469
Yukon,30372,23281,73,1,17,91
Northwest Territories/Territoires du Nord-Ouest,41464,28787,81,0,8,89
Nunavut,29474,17089,43,0,10,53
