Province,Valid Votes_SVR Group 1/Votes valides_RES Groupe 1,Valid Votes_SVR Group 2/Votes valides_RES Groupe 2,Total Valid Votes/Total des votes valides
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",606,8931,9537
"Prince Edward Island/Île-du-Prince-Édouard",223,3472,3695
"Nova Scotia/Nouvelle-Écosse",3197,18728,21925
"New Brunswick/Nouveau-Brunswick",2122,16021,18143
"Quebec/Québec",11106,113644,124750
"Ontario",26547,198499,225046
"Manitoba",3076,18249,21325
"Saskatchewan",2291,20682,22973
"Alberta",7079,83056,90135
"British Columbia/Colombie-Britannique",9012,92109,101121
"Yukon",54,2820,2874
"Northwest Territories/Territoires du Nord-Ouest",213,1242,1455
"Nunavut",111,372,483
