Province,Population,Electors/Électeurs,Stationary Polls/Bureaux fixes,Mobile Polling Stations/Bureaux itinérants,Advance Polls/Bureaux de vote par anticipation,Total Polling Stations/Total des bureaux
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",519716,418226,1199,125,157,1481
"Prince Edward Island/Île-du-Prince-Édouard",142907,118964,292,21,35,348
"Nova Scotia/Nouvelle-Écosse",923598,779247,2075,139,226,2440
"New Brunswick/Nouveau-Brunswick",747101,622974,1560,12,188,1760
"Quebec/Québec",8164361,6508575,15897,1012,1610,18519
"Ontario",13448494,10492441,21021,1137,2174,24332
"Manitoba",1278365,931927,2289,314,265,2868
"Saskatchewan",1098352,808175,2066,264,222,2552
"Alberta",4067175,3033419,6711,560,670,7941
"British Columbia/Colombie-Britannique",4648055,3713048,7878,397,841,9116
"Yukon",35874,30482,68,3,17,88
"Northwest Territories/Territoires du Nord-Ouest",41786,30519,93,0,8,101
"Nunavut",35944,21499,48,0,16,64
