Political affiliation/Appartenance politique,0-9.9,10-19.9,20-29.9,30-39.9,40 or more/40 et plus,Total
"Animal Protection Party of Canada/Le Parti pour la Protection des Animaux du Canada",17,0,0,0,0,17
"Bloc Québécois/Bloc Québécois",6,9,20,19,24,78
"Canada's Fourth Front/Quatrième front du Canada",7,0,0,0,0,7
"Canadian Nationalist Party/Parti Nationaliste Canadien",3,0,0,0,0,3
"Christian Heritage Party of Canada/Parti de l'Héritage Chrétien du Canada",51,0,0,0,0,51
"Communist Party of Canada/Parti communiste du Canada",30,0,0,0,0,30
"Conservative Party of Canada/Parti conservateur du Canada",32,59,68,69,110,338
"Green Party of Canada/Le Parti Vert du Canada",289,37,9,2,1,338
"Liberal Party of Canada/Parti libéral du Canada",20,51,67,76,124,338
"Libertarian Party of Canada/Parti Libertarien du Canada",24,0,0,0,0,24
"Marijuana Party/Parti Marijuana",4,0,0,0,0,4
"Marxist-Leninist Party of Canada/Parti Marxiste-Léniniste du Canada",50,0,0,0,0,50
"National Citizens Alliance of Canada/Alliance Nationale des Citoyens du Canada",4,0,0,0,0,4
"New Democratic Party/Nouveau Parti démocratique",103,149,50,17,19,338
"Parti pour l'Indépendance du Québec/Parti pour l'Indépendance du Québec",13,0,0,0,0,13
"Parti Rhinocéros Party/Parti Rhinocéros Party",39,0,0,0,0,39
"People's Party of Canada/Parti populaire du Canada",314,0,1,0,0,315
"Progressive Canadian Party/Parti Progressiste Canadien",3,0,0,0,0,3
"Stop Climate Change/Arrêtons le changement climatique",2,0,0,0,0,2
"The United Party of Canada/Parti Uni du Canada",4,0,0,0,0,4
"Veterans Coalition Party of Canada/Parti de la coalition des anciens combattants du Canada",25,0,0,0,0,25
"Independent/Indépendant(e)",116,1,1,1,0,119
"No Affiliation/Aucune appartenance",6,0,0,0,0,6
