Province,Electors/Électeurs 2021,Electors/Électeurs 2019,Electors/Électeurs 2015,Electors/Électeurs 2011,Polling Stations/Bureaux de scrutin 2021,Polling Stations/Bureaux de scrutin 2019,Polling Stations/Bureaux de scrutin 2015,Polling Stations/Bureaux de scrutin 2011,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2021,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2019,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2015,Average Number of Electors per Poll/Moyenne d'électeurs par bureau 2011
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",418226,420067,421038,414779,1481,1394,1421,1464,282,301,296,283
"Prince Edward Island/Île-du-Prince-Édouard",118964,116721,113505,108456,348,340,339,332,342,343,335,327
"Nova Scotia/Nouvelle-Écosse",779247,771411,742931,733094,2440,2372,2402,2445,319,325,309,300
"New Brunswick/Nouveau-Brunswick",622974,616704,597542,592818,1760,1836,1876,1948,354,336,319,304
"Quebec/Québec",6508575,6482847,6393478,6130307,18519,18077,18153,17605,351,359,352,348
"Ontario",10492441,10484419,9691517,9033266,24332,26631,26684,25821,431,394,363,350
"Manitoba",931927,927347,887983,831041,2868,2701,2704,2658,325,343,328,313
"Saskatchewan",808175,807984,779405,723814,2552,2386,2419,2466,317,339,322,294
"Alberta",3033419,3023980,2842504,2509390,7941,7780,7535,7020,382,389,377,357
"British Columbia/Colombie-Britannique",3713048,3641258,3392598,3109917,9116,9055,9092,8859,407,402,373,351
"Yukon",30482,29591,26879,24341,88,89,82,99,346,332,328,246
"Northwest Territories/Territoires du Nord-Ouest",30519,30704,30110,29020,101,101,91,81,302,304,331,358
"Nunavut",21499,20025,20252,17349,64,55,59,54,336,364,343,321
