RO Name/Nom du DS,Occupation/Profession,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Province,Residence/Résidence
"Kathleen Ann Booth","Technical Writer/Rédactrice technique","Pitt Meadows--Maple Ridge","59022","British Columbia/Colombie-Britannique","Maple Ridge"
"Jane Norah Pickering","Retired/Retraitée","Port Moody--Coquitlam","59023","British Columbia/Colombie-Britannique","Port Coquitlam"
"Linda J. Smerychynski","Adjudicator/Arbitre","Prince George--Peace River--Northern Rockies","59024","British Columbia/Colombie-Britannique","Prince George"
"Albert Yan Wei","Director of Human Resources/Directeur des ressources humaines","Richmond Centre/Richmond-Centre","59025","British Columbia/Colombie-Britannique","Richmond"
"Peter J.P. Mason*","Retired Teacher/Enseignant retraité","Saanich--Gulf Islands","59027","British Columbia/Colombie-Britannique","North Saanich"
"William John Spat","Businessman/Homme d'affaires","Skeena--Bulkley Valley","59028","British Columbia/Colombie-Britannique","Prince Rupert"
"Gerald J. Anderson","Educator/Enseignant","South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest","59029","British Columbia/Colombie-Britannique","Naramata"
"Mary Elizabeth Wright","Retired/Retraitée","South Surrey--White Rock/Surrey-Sud--White Rock","59030","British Columbia/Colombie-Britannique","White Rock"
"Michael H. Cohene","Retired/Retraité","Steveston--Richmond East/Steveston--Richmond-Est","59031","British Columbia/Colombie-Britannique","Vancouver"
"Roddy James McRae","Realtor/Agent immobilier","Surrey Centre/Surrey-Centre","59032","British Columbia/Colombie-Britannique","Surrey"
"Madurai Rajoo","Realtor/Agent immobilier","Surrey--Newton","59033","British Columbia/Colombie-Britannique","Surrey"
"Rita Lorraine Douglas","Retired/Retraitée","Vancouver Centre/Vancouver-Centre","59034","British Columbia/Colombie-Britannique","Vancouver"
"Philip Chan","Consultant/Consultant","Vancouver East/Vancouver-Est","59035","British Columbia/Colombie-Britannique","Vancouver"
"Maria A. Cavezza","Business Travel Manager/Gestionnaire de voyages professionnels","Vancouver Granville","59036","British Columbia/Colombie-Britannique","Vancouver"
"Joyce K. Kowalyshyn","Retired/Retraitée","Vancouver Kingsway","59038","British Columbia/Colombie-Britannique","Vancouver"
"Ulrike E. Radermacher","Researcher Project-Manager/Chercheuse, gestionnaire de projet","Vancouver Quadra","59039","British Columbia/Colombie-Britannique","Vancouver"
"Rizwana Jiwa","Consultant/Consultante","Vancouver South/Vancouver-Sud","59040","British Columbia/Colombie-Britannique","Vancouver"
"Andrew Kilgour McBride","Retired/Retraité","Victoria","59041","British Columbia/Colombie-Britannique","Victoria"
"Scott Allan Corbett","Event Host/Organisateur d'événements","West Vancouver--Sunshine Coast--Sea to Sky Country","59042","British Columbia/Colombie-Britannique","North Vancouver"
"Michael James Lauer","Civil Servant/Fonctionnaire","Yukon","60001","Yukon","Whitehorse"
"Leanne Tait","Consultant/Consultante","Northwest Territories/Territoires du Nord-Ouest","61001","Northwest Territories/Territoires du Nord-Ouest","Yellowknife"
"Valérie Beaulieu Blanchette","Project Manager/Gestionnaire de projet","Nunavut","62001","Nunavut","Iqaluit"
